YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
[INSERT], 116000, 32.02352786540484
[INSERT], 118000, 23.543168385676207
[INSERT], 120000, 25.07587425830072
[INSERT], 122000, 23.459363957597173
[INSERT], 124000, 24.135099653896646
[INSERT], 126000, 25.288107835726883
[INSERT], 128000, 18.303779829298033
[INSERT], 130000, 24.174175568973524
[INSERT], 132000, 33.896720809071404
[INSERT], 134000, 36.08888888888889
[INSERT], 136000, 36.335242771412986
[INSERT], 138000, 23.68770015419286
[INSERT], 140000, 24.486813186813187
[INSERT], 142000, 23.79137459902578
[INSERT], 144000, 24.003586371787208
[INSERT], 146000, 22.939629093778773
[INSERT], 148000, 20.514816360601003
[INSERT], 150000, 27.941378184193336
[INSERT], 152000, 36.52933172059268
[INSERT], 154000, 42.47301201155542
[INSERT], 156000, 28.21144578313253
[INSERT], 158000, 22.30628301674722
[INSERT], 160000, 24.091236927515325
[INSERT], 162000, 24.313856224996968
[INSERT], 164000, 23.40276314248917
[INSERT], 166000, 22.958228427557792
[INSERT], 168000, 24.835965675910955
[INSERT], 170000, 24.997142857142858
[INSERT], 172000, 25.207580543272268
[INSERT], 174000, 17.460121662723893
[INSERT], 176000, 24.502251059322035
[INSERT], 178000, 34.56839160839161
[INSERT], 180000, 34.11577723220054
[INSERT], 182000, 25.796037296037294
[INSERT], 184000, 25.233843429872266
[INSERT], 186000, 24.188468992248062
[INSERT], 188000, 23.49018691588785
[INSERT], 190000, 25.502078461938165
[INSERT], 192000, 23.479553046884
[INSERT], 194000, 24.49747007281254
[INSERT], 196000, 24.944955268389663
[INSERT], 198000, 17.631205673758867
[INSERT], 200000, 24.48083772617182
[INSERT], 202000, 33.4827284652383
[INSERT], 204000, 41.096983366224975
[INSERT], 206000, 27.11026615969582
[INSERT], 208000, 26.162478843900534
[INSERT], 210000, 21.764903533492305
[INSERT], 212000, 23.18639122315593
[INSERT], 214000, 23.06039260969977
[INSERT], 216000, 24.17408030776629
[INSERT], 218000, 26.430391630901287
[INSERT], 220000, 23.957450415324633
[INSERT], 222000, 19.944366744366743
[INSERT], 224000, 30.608422375864237
[INSERT], 226000, 35.15365569472765
[INSERT], 228000, 40.17696393625943
[INSERT], 230000, 25.657254614350325
[INSERT], 232000, 24.35573750458267
[INSERT], 234000, 22.68277430358158
[INSERT], 236000, 26.825205997568553
[INSERT], 238000, 26.222978277937713
[INSERT], 240000, 24.02839417800048
[INSERT], 242000, 23.802766515621272
[INSERT], 244000, 25.449013579297976
[INSERT], 246000, 22.593991704965813
[INSERT], 248000, 19.26277811184606
[INSERT], 250000, 24.20999313186813
[INSERT], 252000, 29.130915317559154
[INSERT], 254000, 41.317426005986036
[INSERT], 256000, 37.70156714401513
[INSERT], 258000, 31.144149805202964
[INSERT], 260000, 23.301152905554908
[INSERT], 262000, 23.823739721129783
[INSERT], 264000, 25.479047255126737
[INSERT], 266000, 24.17269076305221
[INSERT], 268000, 23.828231089934484
[INSERT], 270000, 23.835976331360946
[INSERT], 272000, 23.326451612903227
[INSERT], 274000, 20.561444837063213
